N,smina,gnina,best,annotation,prefix,model,crystal
9,63.63130,85.35123,92.92181,ligand,nc,default2017,yes
10,65.13145,86.53394,92.92181,ligand,nc,default2017,yes
1,28.21962,31.68995,74.84106,ligand,nc,default2017,no
2,36.80285,42.73794,74.84106,ligand,nc,default2017,no
3,42.35087,48.98457,74.84106,ligand,nc,default2017,no
4,45.04721,53.45053,74.84106,ligand,nc,default2017,no
5,48.10555,56.12135,74.84106,ligand,nc,default2017,no
6,50.27839,58.55793,74.84106,ligand,nc,default2017,no
7,51.83849,60.70892,74.84106,ligand,nc,default2017,no
8,53.41623,62.26415,74.84106,ligand,nc,default2017,no
9,54.56853,63.12222,74.84106,ligand,nc,default2017,no
10,55.82544,64.82501,74.84106,ligand,nc,default2017,no
1,21.14338,32.28308,64.24360,flex1,nc,default2017,yes
2,29.26588,42.90863,71.66210,flex1,nc,default2017,yes
3,33.91165,49.48978,73.73965,flex1,nc,default2017,yes
4,37.02905,53.86742,75.34277,flex1,nc,default2017,yes
5,40.55304,57.52793,75.72440,flex1,nc,default2017,yes
6,43.15086,59.95690,75.88033,flex1,nc,default2017,yes
7,44.90208,61.78848,76.06778,flex1,nc,default2017,yes
8,47.99510,63.23981,76.21662,flex1,nc,default2017,yes
9,49.32074,64.48716,76.32773,flex1,nc,default2017,yes
10,50.86082,65.61519,76.32773,flex1,nc,default2017,yes
1,17.32831,15.79388,36.88306,flex1,nc,default2017,no
2,23.24843,22.41940,44.28780,flex1,nc,default2017,no
3,27.26343,25.88228,47.22227,flex1,nc,default2017,no
4,29.33745,29.69371,48.32520,flex1,nc,default2017,no
5,31.51832,32.43330,49.52989,flex1,nc,default2017,no
6,33.26927,35.31431,50.14991,flex1,nc,default2017,no
7,34.52848,36.43261,50.32460,flex1,nc,default2017,no
8,35.98040,37.98642,50.63324,flex1,nc,default2017,no
9,36.66667,38.70542,50.89678,flex1,nc,default2017,no
10,37.71125,39.85107,50.93262,flex1,nc,default2017,no
1,30.03667,46.26757,85.43267,flex2,nc,default2017,yes
2,39.28667,60.20798,87.81154,flex2,nc,default2017,yes
3,45.09503,66.78274,88.30955,flex2,nc,default2017,yes
4,48.06662,71.17563,88.67210,flex2,nc,default2017,yes
5,51.64229,73.75839,88.73999,flex2,nc,default2017,yes
6,54.39414,76.32028,88.73999,flex2,nc,default2017,yes
7,56.17251,78.25718,88.77329,flex2,nc,default2017,yes
8,59.45817,79.46938,88.77329,flex2,nc,default2017,yes
9,60.91938,80.70578,88.77329,flex2,nc,default2017,yes
10,62.55753,81.50418,88.77329,flex2,nc,default2017,yes
1,26.68403,29.09734,65.73948,flex2,nc,default2017,no
2,35.23932,39.18057,70.34553,flex2,nc,default2017,no
3,40.52926,44.90726,71.11288,flex2,nc,default2017,no
4,43.20694,48.74723,71.35474,flex2,nc,default2017,no
5,45.76513,51.54015,71.59192,flex2,nc,default2017,no
6,47.84652,53.82015,71.59192,flex2,nc,default2017,no
7,49.24759,55.92394,71.59192,flex2,nc,default2017,no
8,50.88482,57.47290,71.59192,flex2,nc,default2017,no
9,51.92249,58.89299,71.59192,flex2,nc,default2017,no
10,53.22866,59.74846,71.59192,flex2,nc,default2017,no
1,25.28999,38.92234,71.78876,max2,nc,default2017,yes
2,33.99223,50.17349,78.83856,max2,nc,default2017,yes
3,39.34342,57.47665,80.56808,max2,nc,default2017,yes
4,42.51585,61.97751,81.59416,max2,nc,default2017,yes
5,46.36282,65.51596,81.92906,max2,nc,default2017,yes
6,49.01486,67.25081,82.06879,max2,nc,default2017,yes
7,50.98445,69.17242,82.18752,max2,nc,default2017,yes
8,54.35719,70.69889,82.30656,max2,nc,default2017,yes
9,55.59672,72.10894,82.48381,max2,nc,default2017,yes
10,57.16049,73.33808,82.56318,max2,nc,default2017,yes
1,21.41807,21.19916,46.04454,max2,nc,default2017,no
2,28.85332,29.80181,54.96853,max2,nc,default2017,no
3,33.61546,35.81880,57.73957,max2,nc,default2017,no
4,35.92618,38.91774,58.98478,max2,nc,default2017,no
5,38.45292,41.67232,60.34300,max2,nc,default2017,no
6,40.63230,43.55389,61.23787,max2,nc,default2017,no
7,42.09008,45.28471,61.36413,max2,nc,default2017,no
8,43.57009,47.01614,61.57577,max2,nc,default2017,no
9,44.35772,48.17384,61.63750,max2,nc,default2017,no
10,45.57105,49.11600,61.63750,max2,nc,default2017,no
1,31.48793,49.59773,92.92181,ligand,cluster,default2018,yes
2,40.78732,61.21239,92.92181,ligand,cluster,default2018,yes
3,46.80599,67.72180,92.92181,ligand,cluster,default2018,yes
4,49.82605,73.80224,92.92181,ligand,cluster,default2018,yes
5,53.94295,77.09461,92.92181,ligand,cluster,default2018,yes
6,56.81612,79.59412,92.92181,ligand,cluster,default2018,yes
7,58.72426,81.80821,92.92181,ligand,cluster,default2018,yes
8,62.03559,82.97645,92.92181,ligand,cluster,default2018,yes
9,63.63130,84.15860,92.92181,ligand,cluster,default2018,yes
10,65.13145,85.45277,92.92181,ligand,cluster,default2018,yes
1,28.21962,30.16244,74.84106,ligand,cluster,default2018,no
2,36.80285,40.35866,74.84106,ligand,cluster,default2018,no
3,42.35087,46.66988,74.84106,ligand,cluster,default2018,no
4,45.04721,50.83091,74.84106,ligand,cluster,default2018,no
5,48.10555,53.62640,74.84106,ligand,cluster,default2018,no
6,50.27839,56.40078,74.84106,ligand,cluster,default2018,no
7,51.83849,59.26973,74.84106,ligand,cluster,default2018,no
8,53.41623,60.96875,74.84106,ligand,cluster,default2018,no
9,54.56853,62.30813,74.84106,ligand,cluster,default2018,no
10,55.82544,62.98646,74.84106,ligand,cluster,default2018,no
1,21.14338,31.62567,64.24360,flex1,cluster,default2018,yes
2,29.26588,44.78555,71.66210,flex1,cluster,default2018,yes
3,33.91165,50.73959,73.73965,flex1,cluster,default2018,yes
4,37.02905,55.76054,75.34277,flex1,cluster,default2018,yes
