N,smina,gnina,best
1.0,31.730625288602273,43.91425606446783,92.92841514720097
2.0,41.02849337134634,58.57840117314731,92.92841514720097
3.0,47.04665164247404,67.21564237388381,92.92841514720097
4.0,50.15676523662225,72.01779858394185,92.92841514720097
5.0,54.230891497769214,74.46190824809314,92.92841514720097
6.0,57.10354870093207,75.98073017488245,92.92841514720097
7.0,59.010672933818206,78.0398937212895,92.92841514720097
8.0,62.41255969077498,79.89226165384737,92.92841514720097
9.0,64.00827829932174,81.21938840103287,92.92841514720097
10.0,65.50842746625041,82.53488297566443,92.92841514720097
