N,smina,gnina,best
1.0,28.201176566398676,27.200594611307707,74.79001756068948
2.0,36.78287727042567,38.91684635704939,74.79001756068948
3.0,42.380985159676655,46.03307976411028,74.79001756068948
4.0,45.07630407695096,50.43905216569757,74.79001756068948
5.0,48.09237926520522,53.23239869890141,74.79001756068948
6.0,50.264706619458224,56.010649237505504,74.79001756068948
7.0,51.823790236246886,58.304490955387685,74.79001756068948
8.0,53.401534232407826,59.73674681870479,74.79001756068948
9.0,54.55383462676784,60.61490162338054,74.79001756068948
10.0,55.81074577562224,61.675237844559916,74.79001756068948
