N,smina,gnina,best
1.0,31.730625288602273,48.93152452318444,92.92841514720097
2.0,41.02849337134634,61.79112985353527,92.92841514720097
3.0,47.04665164247404,68.69033776960491,92.92841514720097
4.0,50.15676523662225,73.79422090872974,92.92841514720097
5.0,54.230891497769214,76.89966036112632,92.92841514720097
6.0,57.10354870093207,79.56115339876219,92.92841514720097
7.0,59.010672933818206,81.61215643513503,92.92841514720097
8.0,62.41255969077498,82.8868927421548,92.92841514720097
9.0,64.00827829932174,84.21018834775123,92.92841514720097
10.0,65.50842746625041,85.39794304116852,92.92841514720097
