N,smina,gnina,best
1.0,28.201176566398676,30.976119655660707,74.79001756068948
2.0,36.78287727042567,41.41933408480717,74.79001756068948
3.0,42.380985159676655,47.364647237218406,74.79001756068948
4.0,45.07630407695096,52.404429026489545,74.79001756068948
5.0,48.09237926520522,55.8584942990213,74.79001756068948
6.0,50.264706619458224,57.715407641124706,74.79001756068948
7.0,51.823790236246886,59.59059646520253,74.79001756068948
8.0,53.401534232407826,61.35277392484846,74.79001756068948
9.0,54.55383462676784,62.43435374356405,74.79001756068948
10.0,55.81074577562224,63.44927274373411,74.79001756068948
