N,smina,gnina,best,annotation,prefix,model
1.0,25.598595841541282,39.574898713219994,82.97598485749668,max2,cluster,default2018
2.0,35.45246028625926,54.35158569706082,88.8533243046871,max2,cluster,default2018
3.0,40.9748411430804,62.87926337047748,90.20544984613223,max2,cluster,default2018
4.0,44.14361211898117,67.05814188216112,90.89141556945366,max2,cluster,default2018
5.0,48.17782454115048,71.00742964646086,90.94660924455683,max2,cluster,default2018
6.0,51.415531661505725,73.63491430459806,91.02328695281348,max2,cluster,default2018
7.0,53.64675100570893,75.99965818430003,91.19858784240009,max2,cluster,default2018
8.0,57.30188750394509,78.3558699790106,91.19858784240009,max2,cluster,default2018
9.0,58.753177341671,80.37799810966318,91.25091646615728,max2,cluster,default2018
10.0,60.336656637441486,81.68158128043324,91.25091646615728,max2,cluster,default2018
