N,smina,gnina,best,annotation,prefix,model
1.0,25.598595841541282,38.75700765624615,82.97598485749668,max2,cluster,default2017
2.0,35.45246028625926,53.33580642805729,88.8533243046871,max2,cluster,default2017
3.0,40.9748411430804,60.857976778265716,90.20544984613223,max2,cluster,default2017
4.0,44.14361211898117,66.10391074583526,90.89141556945366,max2,cluster,default2017
5.0,48.17782454115048,69.5960661180243,90.94660924455683,max2,cluster,default2017
6.0,51.415531661505725,73.00829122087585,91.02328695281348,max2,cluster,default2017
7.0,53.64675100570893,74.97597039934244,91.19858784240009,max2,cluster,default2017
8.0,57.30188750394509,77.7464611927022,91.19858784240009,max2,cluster,default2017
9.0,58.753177341671,80.10419131137441,91.25091646615728,max2,cluster,default2017
10.0,60.336656637441486,81.5329680232584,91.25091646615728,max2,cluster,default2017
