N,smina,gnina,best
1.0,31.730625288602273,45.30372653338394,92.92841514720097
2.0,41.02849337134634,58.13083226830981,92.92841514720097
3.0,47.04665164247404,64.79338047850047,92.92841514720097
4.0,50.15676523662225,69.34529201162633,92.92841514720097
5.0,54.230891497769214,73.42753489053993,92.92841514720097
6.0,57.10354870093207,75.80650862966432,92.92841514720097
7.0,59.010672933818206,78.56548266579236,92.92841514720097
8.0,62.41255969077498,80.39159977820378,92.92841514720097
9.0,64.00827829932174,82.48013440020922,92.92841514720097
10.0,65.50842746625041,84.04407629520499,92.92841514720097
