N,smina,gnina,best,annotation,prefix,model
1.0,11.877015462473944,24.026494449011327,58.21973135816147,max1,cluster,default2017
2.0,20.63991776294903,37.01310878648041,67.9356016154158,max1,cluster,default2017
3.0,25.9361637349786,44.24230290539758,71.61773861635322,max1,cluster,default2017
4.0,29.15255853689017,49.7989080393489,73.61971480113934,max1,cluster,default2017
5.0,32.26456404573991,53.315773405830264,74.42081130312103,max1,cluster,default2017
6.0,35.69331743230033,56.04204938041692,74.70413324278974,max1,cluster,default2017
7.0,37.990469835328426,58.77204427124097,75.50815726109947,max1,cluster,default2017
8.0,41.420354508019535,60.64421842806472,75.78735175082028,max1,cluster,default2017
9.0,42.95780512635592,62.05987328887131,75.78735175082028,max1,cluster,default2017
10.0,44.68977289195495,63.71075703700122,75.93872820138142,max1,cluster,default2017
