N,smina,gnina,best,annotation,prefix,model
1.0,17.49331115163356,16.641807564407134,38.922678199602366,flex,nc,default2018
2.0,23.845843556192865,24.694965998617114,46.761413513218514,flex,nc,default2018
3.0,28.131396121088073,28.8050601899766,49.666924223650796,flex,nc,default2018
4.0,30.014945142093822,32.37217313028578,50.61454731040777,flex,nc,default2018
5.0,32.22067574059973,34.76525756807317,52.038616251800974,flex,nc,default2018
6.0,33.8770101735644,37.18871791033518,52.72711948733922,flex,nc,default2018
7.0,35.306105518048845,38.65984148497511,53.22505414160141,flex,nc,default2018
8.0,36.86425451082922,40.32892947336266,53.459819376366646,flex,nc,default2018
9.0,37.54172827636306,41.32666682072619,53.72015040592846,flex,nc,default2018
10.0,38.5720368618253,42.64996229723224,53.85439116516922,flex,nc,default2018
