N,smina,gnina,best,annotation,prefix,model
1.0,25.598595841541282,42.2421507936118,82.97598485749668,max2,nc,dense
2.0,35.45246028625926,57.28686684467391,88.8533243046871,max2,nc,dense
3.0,40.9748411430804,64.44189086678294,90.20544984613223,max2,nc,dense
4.0,44.14361211898117,69.03623682850596,90.89141556945366,max2,nc,dense
5.0,48.17782454115048,72.81458038968867,90.94660924455683,max2,nc,dense
6.0,51.415531661505725,74.86430719532557,91.02328695281348,max2,nc,dense
7.0,53.64675100570893,77.03607146938043,91.19858784240009,max2,nc,dense
8.0,57.30188750394509,78.57248215957422,91.19858784240009,max2,nc,dense
9.0,58.753177341671,80.36806245049314,91.25091646615728,max2,nc,dense
10.0,60.336656637441486,81.9946429252335,91.25091646615728,max2,nc,dense
