N,smina,gnina,best,annotation,prefix,model
1.0,31.730625288602273,51.965118008779,92.92841514720097,,nc,default2018
2.0,41.02849337134634,65.36184545451123,92.92841514720097,,nc,default2018
3.0,47.04665164247404,71.62219235579958,92.92841514720097,,nc,default2018
4.0,50.15676523662225,74.7401307257557,92.92841514720097,,nc,default2018
5.0,54.230891497769214,77.20654936759499,92.92841514720097,,nc,default2018
6.0,57.10354870093207,78.95211702447659,92.92841514720097,,nc,default2018
7.0,59.010672933818206,80.6031133739797,92.92841514720097,,nc,default2018
8.0,62.41255969077498,82.20456099071771,92.92841514720097,,nc,default2018
9.0,64.00827829932174,82.95900286002546,92.92841514720097,,nc,default2018
10.0,65.50842746625041,84.21459834293847,92.92841514720097,,nc,default2018
