N,smina,gnina,best,annotation,prefix,model
1.0,28.201176566398676,30.976119655660707,74.79001756068948,,nc,default2017
2.0,36.78287727042567,41.41933408480717,74.79001756068948,,nc,default2017
3.0,42.380985159676655,47.364647237218406,74.79001756068948,,nc,default2017
4.0,45.07630407695096,52.404429026489545,74.79001756068948,,nc,default2017
5.0,48.09237926520522,55.8584942990213,74.79001756068948,,nc,default2017
6.0,50.264706619458224,57.715407641124706,74.79001756068948,,nc,default2017
7.0,51.823790236246886,59.59059646520253,74.79001756068948,,nc,default2017
8.0,53.401534232407826,61.35277392484846,74.79001756068948,,nc,default2017
9.0,54.55383462676784,62.43435374356405,74.79001756068948,,nc,default2017
10.0,55.81074577562224,63.44927274373411,74.79001756068948,,nc,default2017
