N,smina,gnina,best,annotation,prefix,model
1.0,23.02486751223879,38.908449594900816,80.3686300793527,flex,cluster,default2017
2.0,32.42158085560229,52.642117121643885,87.63861328183161,flex,cluster,default2017
3.0,38.244732264398905,60.96725364155936,89.51073461237011,flex,cluster,default2017
4.0,41.63413715800107,66.65365823586909,90.26583352462578,flex,cluster,default2017
5.0,45.6563474209081,70.00625515023607,90.39192404481936,flex,cluster,default2017
6.0,49.13790464392752,73.17098619219016,90.52074259469055,flex,cluster,default2017
7.0,51.525078224359184,74.82922867890868,90.83400076509157,flex,cluster,default2017
8.0,55.426047238444134,76.97187125072891,90.84845999007712,flex,cluster,default2017
9.0,56.86890634910057,78.42119909685847,90.90078861383432,flex,cluster,default2017
10.0,58.46705427314287,79.72388728306889,90.90078861383432,flex,cluster,default2017
