N,smina,gnina,best,annotation,prefix,model
1.0,20.513314885007393,19.607251886371962,46.061976009801405,max2,nc,default2017
2.0,28.290290301649105,28.584923068769527,54.3604274825525,max2,nc,default2017
3.0,32.772976730839844,33.67339503999508,57.81384501579108,max2,nc,default2017
4.0,34.96280801627795,37.30505149867301,59.57647818822659,max2,nc,default2017
5.0,37.4469029240823,39.85278207891769,60.68321971007957,max2,nc,default2017
6.0,39.29941823273165,42.073455881489544,61.301347887105265,max2,nc,default2017
7.0,40.59398645644957,44.93458434436868,61.42622301198038,max2,nc,default2017
8.0,42.25404745487511,46.14287896741949,61.63078035939488,max2,nc,default2017
9.0,42.971103274418965,47.948405451290924,61.796487667959326,max2,nc,default2017
10.0,44.181976682962926,49.378374941749605,61.89638776785943,max2,nc,default2017
