N,smina,gnina,best,annotation,prefix,model
1.0,25.598595841541282,42.50160443374237,82.97598485749668,max2,nc,default2017
2.0,35.45246028625926,57.517027637517415,88.8533243046871,max2,nc,default2017
3.0,40.9748411430804,64.78728067919654,90.20544984613223,max2,nc,default2017
4.0,44.14361211898117,70.17617214514578,90.89141556945366,max2,nc,default2017
5.0,48.17782454115048,74.28623609760125,90.94660924455683,max2,nc,default2017
6.0,51.415531661505725,76.83105177057864,91.02328695281348,max2,nc,default2017
7.0,53.64675100570893,78.6182522392295,91.19858784240009,max2,nc,default2017
8.0,57.30188750394509,80.27100976418083,91.19858784240009,max2,nc,default2017
9.0,58.753177341671,81.54130904425419,91.25091646615728,max2,nc,default2017
10.0,60.336656637441486,82.85348664179914,91.25091646615728,max2,nc,default2017
