N,smina,gnina,best,annotation,prefix,model
1.0,20.513314885007393,18.443871600126027,46.061976009801405,max2,cluster,default2017
2.0,28.290290301649105,26.14162471523704,54.3604274825525,max2,cluster,default2017
3.0,32.772976730839844,31.633887892407145,57.81384501579108,max2,cluster,default2017
4.0,34.96280801627795,35.14926094250685,59.57647818822659,max2,cluster,default2017
5.0,37.4469029240823,38.30002782889935,60.68321971007957,max2,cluster,default2017
6.0,39.29941823273165,40.60823286021372,61.301347887105265,max2,cluster,default2017
7.0,40.59398645644957,42.37941560864307,61.42622301198038,max2,cluster,default2017
8.0,42.25404745487511,44.06510767447852,61.63078035939488,max2,cluster,default2017
9.0,42.971103274418965,45.460239695637526,61.796487667959326,max2,cluster,default2017
10.0,44.181976682962926,46.65733390740779,61.89638776785943,max2,cluster,default2017
