N,smina,gnina,best,annotation,prefix,model
1.0,25.598595841541282,46.48110649571523,82.97598485749668,max2,nc,default2018
2.0,35.45246028625926,60.07145990327942,88.8533243046871,max2,nc,default2018
3.0,40.9748411430804,67.5512497841474,90.20544984613223,max2,nc,default2018
4.0,44.14361211898117,72.27946695091262,90.89141556945366,max2,nc,default2018
5.0,48.17782454115048,75.67500285965838,90.94660924455683,max2,nc,default2018
6.0,51.415531661505725,77.83520444924365,91.02328695281348,max2,nc,default2018
7.0,53.64675100570893,79.55733152384136,91.19858784240009,max2,nc,default2018
8.0,57.30188750394509,80.87404418390652,91.19858784240009,max2,nc,default2018
9.0,58.753177341671,82.08822630132347,91.25091646615728,max2,nc,default2018
10.0,60.336656637441486,82.93723022833352,91.25091646615728,max2,nc,default2018
