N,smina,gnina,best
1.0,28.201176566398676,38.22060772547208,74.79001756068948
2.0,36.78287727042567,48.573429626111256,74.79001756068948
3.0,42.380985159676655,54.55438603936278,74.79001756068948
4.0,45.07630407695096,58.58320236603421,74.79001756068948
5.0,48.09237926520522,61.4998381200322,74.79001756068948
6.0,50.264706619458224,62.971113893780334,74.79001756068948
7.0,51.823790236246886,64.45257387474997,74.79001756068948
8.0,53.401534232407826,65.6603375167592,74.79001756068948
9.0,54.55383462676784,66.43707676009049,74.79001756068948
10.0,55.81074577562224,67.04688081317288,74.79001756068948
