N,smina,gnina,best
1.0,31.730625288602273,61.74888064170586,92.92841514720097
2.0,41.02849337134634,73.68814394329826,92.92841514720097
3.0,47.04665164247404,78.37954865219825,92.92841514720097
4.0,50.15676523662225,82.21245208707477,92.92841514720097
5.0,54.230891497769214,84.90501706745202,92.92841514720097
6.0,57.10354870093207,86.40143122463341,92.92841514720097
7.0,59.010672933818206,87.46371132897404,92.92841514720097
8.0,62.41255969077498,88.305612891306,92.92841514720097
9.0,64.00827829932174,88.93627576185507,92.92841514720097
10.0,65.50842746625041,89.4806831341341,92.92841514720097
