N,smina,gnina,best
1.0,31.730625288602273,60.88049082007997,92.92841514720097
2.0,41.02849337134634,73.196438644576,92.92841514720097
3.0,47.04665164247404,79.65410321086618,92.92841514720097
4.0,50.15676523662225,82.81145267965955,92.92841514720097
5.0,54.230891497769214,85.04929200713727,92.92841514720097
6.0,57.10354870093207,86.57674132462063,92.92841514720097
7.0,59.010672933818206,87.60117086835338,92.92841514720097
8.0,62.41255969077498,88.53895151987639,92.92841514720097
9.0,64.00827829932174,89.26514109959285,92.92841514720097
10.0,65.50842746625041,89.80598462050665,92.92841514720097
