N,smina,gnina,best
1.0,31.730625288602273,59.033158456927865,92.92841514720097
2.0,41.02849337134634,71.38226090285646,92.92841514720097
3.0,47.04665164247404,77.20606177448124,92.92841514720097
4.0,50.15676523662225,80.11137424434555,92.92841514720097
5.0,54.230891497769214,82.43864961910197,92.92841514720097
6.0,57.10354870093207,83.59538328312226,92.92841514720097
7.0,59.010672933818206,85.06488172148659,92.92841514720097
8.0,62.41255969077498,85.94887406424793,92.92841514720097
9.0,64.00827829932174,86.60693771012546,92.92841514720097
10.0,65.50842746625041,86.95384334372015,92.92841514720097
