N,smina,gnina,best
1.0,28.201176566398676,39.468730291107185,74.79001756068948
2.0,36.78287727042567,49.578228026917714,74.79001756068948
3.0,42.380985159676655,55.48156734769816,74.79001756068948
4.0,45.07630407695096,59.382200846870845,74.79001756068948
5.0,48.09237926520522,61.669238546108296,74.79001756068948
6.0,50.264706619458224,63.58403494207009,74.79001756068948
7.0,51.823790236246886,65.13538775046554,74.79001756068948
8.0,53.401534232407826,66.71680094604851,74.79001756068948
9.0,54.55383462676784,68.07922508462651,74.79001756068948
10.0,55.81074577562224,68.72609648134365,74.79001756068948
